CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-01-27 00:00,3.4,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-01-28 00:00,3.42,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-01-29 00:00,3.68,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-01-30 00:00,3.68,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-01-31 00:00,3.4,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-01 00:00,3.4,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-02 00:00,3.4,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-03 00:00,3.4,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-04 00:00,3.4,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-05 00:00,3.68,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-06 00:00,3.68,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-07 00:00,5.41,4,EST. OTROS METODOS,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-08 00:00,3.54,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-09 00:00,5.16,50,,900
21257120,PUENTE NEGRO  - AUT [21257120],4.9401944440,-75.08980556,1135,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Tolima,Villahermosa,15/12/1986 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1988-02-10 00:00,3.56,50,,900
